"ID","MonthlyIncome"
871,6097.05265825596
872,2676.95841790183
873,12618.40180227
874,2629.57136900273
875,2854.1661020758
876,5393.29980934891
877,5069.9599229134
878,2312.17448421488
879,2289.20903869432
880,13334.0112536318
881,9969.57406978135
882,3232.45725782574
883,6108.72181246705
884,5558.90835458778
885,5949.63550768612
886,5418.87053166193
887,5314.5696374777
888,5752.51276191731
889,4922.34581919978
890,3264.78593523057
891,4386.82376132407
892,9249.05941907216
893,9540.08104769594
894,5877.17714011967
895,9792.93840116058
896,10024.6875101828
897,9040.49076657598
898,15749.8578393849
899,5663.92544860615
900,3273.52000801629
901,3149.79480437256
902,5110.62403466912
903,5950.71764705179
904,3002.18886860601
905,16275.2446798329
906,5265.75040374083
907,9410.73705983426
908,5705.41447354536
909,2733.94673786539
910,2680.99103513849
911,19716.6351461913
912,3553.15184587663
913,3208.45600124189
914,12862.9600674325
915,6009.71126813883
916,3948.27894603502
917,2972.29762436258
918,5258.40085843503
919,2136.71580549855
920,3214.74524323844
921,2320.20117984048
922,2980.67182375144
923,4377.39226603375
924,3615.88561233993
925,16175.7043013056
926,3335.74218778031
927,5324.55237212443
928,13806.9492813602
929,1746.02099601883
930,2849.60443941726
931,5755.88063475824
932,13104.0577113446
933,8806.09052208159
934,2787.90112776409
935,2199.80235300649
936,2076.90433469233
937,9082.54451745861
938,9566.92832331611
939,5152.09526561039
940,2310.20484606847
941,3808.76643703002
942,9321.4083328057
943,8974.08655741502
944,5940.91975805009
945,1959.45657426907
946,6202.46485266827
947,2469.83251165138
948,2585.45117301483
949,2906.34553987954
950,5710.23074921356
951,2651.26850350435
952,5769.1335397111
953,5738.69691518234
954,2816.95942832174
955,4238.16847236948
956,7030.68191753282
957,9507.7857082427
958,2550.40846576419
959,9519.26017508384
960,19629.3027455268
961,3115.80336744454
962,5123.95741067558
963,5873.71576438479
964,4635.55354305953
965,2847.0753899846
966,19712.8781089596
967,2632.92514035392
968,8868.66337932145
969,16674.9027606921
970,2517.70623480829
971,6057.13775815452
972,5229.68767491661
973,2122.44774125523
974,2366.78652168173
975,5452.50120580764
976,2701.92928236321
977,6357.52976976492
978,2731.55499525588
979,9200.42632269349
980,19295.2410011635
981,3342.65871906861
982,9315.2738203788
983,3215.28118325122
984,2133.9215692529
985,5643.65248849262
986,3268.80657575322
987,2716.33572736442
988,5863.5910293387
989,9324.4658037346
990,3184.03926339731
991,4997.18284598703
992,2809.05932638723
993,5060.91967727214
994,5547.43925680357
995,5826.72435120718
996,5400.55896639778
997,3611.11288484231
998,16814.4471005739
999,9231.84154819446
1000,2141.45709669812
1001,4989.10361718142
1002,4032.65211524378
1003,4286.9677220513
1004,6209.24963664274
1005,2956.42644351902
1006,5913.22443488047
1007,2399.33616611571
1008,5911.08354090579
1009,20239.1438266382
1010,5088.04733241959
1011,9484.44776701069
1012,5046.80824072779
1013,6297.96584031144
1014,4563.38835562323
1015,5648.82612269159
1016,3070.26630594574
1017,2417.51711183703
1018,8052.45369224314
1019,9246.58032514979
1020,1893.63745367097
1021,5701.07591301146
1022,5791.88619048669
1023,5329.65090387403
1024,11107.6222162478
1025,16419.3408237003
1026,18942.5120835817
1027,4984.81030595212
1028,5191.14983627545
1029,5379.11812692413
1030,8734.12267649332
1031,5292.11717736189
1032,2928.60852559506
1033,12545.7083028685
1034,2279.2098972848
1035,4454.69395808091
1036,2202.73509081089
1037,5790.79586871709
1038,8376.23087896617
1039,12742.1247002354
1040,5793.6281184679
1041,3146.60164401559
1042,3754.19550842114
1043,8595.51446652288
1044,7219.41176163828
1045,2212.8226745558
1046,2066.11758247306
1047,6265.08967379754
1048,12827.2803052978
1049,2667.61906929436
1050,5845.62269346384
1051,8670.74088655837
1052,2778.1803869089
1053,5630.65135616333
1054,3391.33983995201
1055,3353.30383451778
1056,3033.19888881345
1057,6618.38623084892
1058,16335.3993057892
1059,5150.31242208971
1060,3277.9217851401
1061,4503.10066705504
1062,5899.55050098401
1063,6468.40093731216
1064,2011.13986995847
1065,5532.04410712981
1066,2481.40564313962
1067,3427.85728703007
1068,19362.9811455071
1069,4987.52011688825
1070,2363.12109483831
1071,2511.48678826967
1072,6457.05765428341
1073,2744.93571184655
1074,5925.50259395921
1075,6114.47700060848
1076,16534.9486858383
1077,19587.7082980378
1078,4416.55957293623
1079,4160.6188866944
1080,4746.12312643035
1081,3218.25799365396
1082,3049.69289444868
1083,1968.57511299354
1084,6028.39670638343
1085,8726.29177780348
1086,9350.61820214202
1087,6058.06633227301
1088,3225.6824941396
1089,3261.68867499679
1090,5708.721441617
1091,5669.49414099095
1092,6263.65091055988
1093,12332.3960528098
1094,5684.93564350813
1095,5665.59104456171
1096,6395.21482328174
1097,3557.28601924551
1098,3363.17655420305
1099,2749.65371287442
1100,5924.99365216528
1101,19559.6525576531
1102,5523.39953911929
1103,6563.35653919664
1104,9378.31943919235
1105,3294.21965149426
1106,2554.87671585288
1107,3043.6646485102
1108,4888.19280009283
1109,5666.64510238203
1110,6233.44044143006
1111,5813.27270545604
1112,12782.5945083662
1113,12159.1987483887
1114,6326.79129893529
1115,9750.30570376825
1116,2599.92381388354
1117,6394.77604203555
1118,4423.3847741233
1119,9144.91812309619
1120,2074.08226647056
1121,9621.28632328632
1122,16552.4431856085
1123,5145.96498647218
1124,17283.5270859217
1125,3049.83060799509
1126,1322.71937767453
1127,3139.9477884155
1128,4584.76831270382
1129,16289.7074701435
1130,2520.39350894164
1131,12753.2062011602
1132,16454.8868337902
1133,5742.58313513013
1134,2091.15836715014
1135,2445.34615589173
1136,2933.63613553613
1137,3086.93623985494
1138,5694.61574225936
1139,9182.73717426311
1140,16941.1272714525
1141,5739.48021891046
1142,6142.30643766492
1143,9803.39724104135
1144,5285.92581328778
1145,4095.64648457423
1146,5451.40099373463
1147,4766.1447310496
1148,3228.16293837278
1149,2635.16066673457
1150,4931.21050373953
1151,2476.87474543571
1152,5699.44787966362
1153,5015.80303521379
1154,1941.04028355419
1155,5787.67932762527
1156,13189.4169739587
1157,1933.77574702477
1158,4931.20781831197
1159,2827.11011115868
1160,6013.95132708041
1161,3069.51301157699
1162,8858.52385288374
1163,2618.3039013428
1164,9271.07578555988
1165,2948.49911130314
1166,2210.03876431236
1167,10484.5888737881
1168,5900.99500330688
1169,3096.490154639
1170,2764.17605818772
